,총자산규모(Size),부채비율(DEB),자기자본비율(DEB),매출액증가율,배당률,ESG,E,S,G,평가연도,업종명,현금흐름(CF),PBR
CS홀딩스,188753459000.0,15.95,86.25,30.53,0.0,C,B,C,C,2011,서비스업,0.07062651909562614,0.39
KISCO홀딩스,779731867000.0,14.21,87.56,5.37,14.9,C,B+,C,C,2011,서비스업,0.055293215200266574,0.325
LG이노텍,4409966704000.0,232.87,30.04,10.95,0.0,A,B+,A,A,2011,전기전자,0.0639605556347952,1.7599999999999998
MH에탄올,134206851000.0,214.54,31.79,-18.64,0.0,C,B,C,B이하,2011,음식료품,0.003992840574709135,0.36
OCI,7205013146000.0,93.68,51.63,28.71,41.23,A,A,A,A,2011,화학,0.32133245628884366,3.0250000000000004
SH에너지화학,104710740000.0,60.5,62.31,14.99,0.0,B이하,C,B이하,C,2011,화학,0.03363096141385577,0.575
SIMPAC,310879328000.0,84.02,54.34,18.47,18.58,B이하,C,B이하,C,2011,기계,0.08556172713057456,1.1600000000000001
SK이노베이션,35026880858000.0,136.16,42.34,27.27,55.7,A,A+,A,C,2011,서비스업,0.03981328669702999,1.57
STX,5234175000000.0,173.19,36.6,47.5,9.78,B+,B+,B+,B+,2011,유통업,0.009350501977227076,1.265
STX엔진,3513992968000.0,243.28,29.13,9.1,10.0,A,B,A,A,2011,기계,-0.04863067451489978,1.0
가온전선,509900791000.0,96.1,51.0,31.52,9.44,C,B,C,B이하,2011,전기전자,-0.019003071529489716,0.315
강원랜드,2711401782000.0,20.11,83.25,-3.66,172.7,B이하,B+,B이하,C,2011,서비스업,0.33011949148463055,2.81
경농,173774102000.0,21.53,82.28,0.0,13.53,B이하,B,B이하,B이하,2011,화학,0.11680446944237245,0.535
경동나비엔,263211016000.0,56.57,63.87,11.09,9.79,B이하,B,B이하,B이하,2011,전기전자,0.04540332301375781,1.8050000000000002
경방,1352324332000.0,114.76,46.56,2.59,0.0,B이하,B,B이하,C,2011,섬유의복,-0.0420737369154327,0.355
경인양행,319596954000.0,81.29,55.16,-12.89,9.84,B이하,B,B이하,B이하,2011,화학,0.042213135981279466,0.755
경인전자,63394446000.0,14.26,87.52,0.0,8.89,C,B,C,C,2011,전기전자,0.09831400748526599,0.44999999999999996
계양전기,170610595000.0,23.1,81.24,21.23,9.63,B이하,B,B이하,C,2011,기계,0.011673260926741582,0.81
고려산업,124894379000.0,122.77,44.89,0.0,2.9,B이하,C,B이하,C,2011,음식료품,0.025159144198883977,0.36
고려아연,4606179546000.0,31.21,76.21,44.77,93.66,B이하,B+,B이하,B이하,2011,철강금속,0.16365236703870212,2.1350000000000002
고려제강,1823262406000.0,43.36,69.75,8.42,34.99,B이하,C,B이하,C,2011,철강금속,0.09133019769961122,0.635
